horse_id,sire,dam,bms
2021102083,キンシャサノキセキ,スマートノエル,ヴァーミリアン
2021101422,モーリス,トリニティプレイス,マンハッタンカフェ
2021106054,マジェスティックウォリアーMajestic Warrior(米),アーベントロート,フジキセキ
2021105073,イスラボニータ,ジペッサZipessa(米),City Zip(米)
2021105931,カレンブラックヒル,アールヌーヴォー,ブライアンズタイムBrian's Time(米)
2021104305,サンダースノーThunder Snow(愛),ナムラチアーズ,マンハッタンカフェ
2021103099,サンダースノーThunder Snow(愛),ショーハイウェイ,パイロPyro(米)
2021102221,マジェスティックウォリアーMajestic Warrior(米),コパノレヴィーン,ゴールドアリュール
2021106011,サンダースノーThunder Snow(愛),アイアムエレガント,マンハッタンカフェ
2021103237,キズナ,ジアナズドリームGianna's Dream(米),Twirling Candy
2021106603,サトノダイヤモンド,ヤマニンプードレ,チチカステナンゴChichicastenango(仏)
2021100262,タリスマニックTalismanic(英),エーシンラクーリエ,コロナドズクエストCoronado's Quest(米)
2021110140,ヨシダYoshida(安平町),Astral Favor,Astrology
2021104211,ロゴタイプ,ニホンピロルーラー,ルーラーシップ
2021101892,モーニン,チェキ,ゴールドアリュール
2021105442,Saxon Warrior(安平町),エライヤElaya(仏),Siyouni
2021105564,モーリス,シャンボールフィズ,キングカメハメハ
2021105141,キタサンブラック,デロングスター,ヴィクトワールピサ
2021105438,ドレフォンDrefong(米),エバーシャルマン,ハーツクライ
2021106152,ロジャーバローズ,プリティキャサリンPretty Katherine(加),Vindication
2021105704,レイデオロ,ヒストリックスター,ファルブラヴFalbrav(愛)
2021104968,オルフェーヴル,ヴェルダVelda(英),Observatory
2021101059,グァンチャーレ,ビエンナーレ,ステイゴールド
2021103227,ルーラーシップ,カンタービレ,ディープインパクト
2021101426,デクラレーションオブウォー,ハッピーグラス,ディープインパクト
2021103006,アニマルキングダムAnimal Kingdom(米),ヒルノマテーラ,マンハッタンカフェ
2021104537,ワールドエース,クィーンズロード,Quality Road
2021105277,シュヴァルグラン,リリーアメリカLily America(仏),American Post
2021104956,ロゴタイプ,イブニングサンダーEvening Thunder(米),Morning Line
2021106701,マジェスティックウォリアーMajestic Warrior(米),ブライトメッセージ,シンボリクリスエス
2021109059,ヘンリーバローズ,シルクマイホーム,ストーミングホームStorming Home(英)
2021102816,シルバーステート,ロックドクトリン,ロックオブジブラルタル
